"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Educação";"Universidade Federal de Viçosa";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002671328557761";"30.800,00";"18/03/2024";"267";"1";
"Ministério da Educação";"Universidade Federal de Pernambuco";"INTELBRAS S/A - IND DE TEL ELET BRASILEI";"82.901.000/0014-41";"SAO JOSE";"42240382901000001441550010023475851604646077";"30.800,00";"19/03/2024";"2347585";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"INTELBRAS S/A - IND DE TEL ELET BRASILEI";"82.901.000/0014-41";"SAO JOSE";"42240382901000001441550010023476011220417395";"30.800,00";"19/03/2024";"2347601";"1";
"Ministério da Educação";"Universidade Federal do Espírito Santo";"INTELBRAS S/A - IND DE TEL ELET BRASILEI";"82.901.000/0014-41";"SAO JOSE";"42240382901000001441550010023475951938378921";"30.800,00";"19/03/2024";"2347595";"1";
"Ministério da Educação";"Fundação Universidade do Amazonas";"INTELBRAS S/A - IND DE TEL ELET BRASILEI";"82.901.000/0014-41";"SAO JOSE";"42240382901000001441550010023475911241545823";"30.800,00";"19/03/2024";"2347591";"1";
"Ministério da Educação";"Universidade Federal de Pernambuco";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002621957529546";"30.800,00";"18/03/2024";"262";"1";
"Ministério da Educação";"Fundação Universidade do Amazonas";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002691208948890";"30.800,00";"18/03/2024";"269";"1";
"Ministério da Educação";"Fundação Universidade Federal do ABC";"INTELBRAS S/A - IND DE TEL ELET BRASILEI";"82.901.000/0014-41";"SAO JOSE";"42240382901000001441550010023475941658307598";"30.800,00";"19/03/2024";"2347594";"1";
"Ministério da Educação";"Universidade Federal da Bahia";"INTELBRAS S/A - IND DE TEL ELET BRASILEI";"82.901.000/0014-41";"SAO JOSE";"42240382901000001441550010023475831817395344";"30.800,00";"19/03/2024";"2347583";"1";
"Ministério da Educação";"Universidade Federal Rural da Amazônia";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002631773274046";"30.800,00";"18/03/2024";"263";"1";
"Ministério da Educação";"Universidade Federal do Espírito Santo";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002651704080623";"30.800,00";"18/03/2024";"265";"1";
"Ministério da Educação";"Universidade Federal do Rio Grande do Norte";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002681767184711";"30.800,00";"18/03/2024";"268";"1";
"Ministério da Educação";"Fundação Universidade Federal do ABC";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002641574513625";"30.800,00";"18/03/2024";"264";"1";
"Ministério da Educação";"Fundação Universidade Federal do ABC";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240334197944000112550010000002771743552604";"30.800,00";"27/03/2024";"277";"1";
"Ministério da Educação";"Universidade Federal do Rio Grande do Norte";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240434197944000112550010000002971864901592";"30.800,00";"03/04/2024";"297";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240434197944000112550010000002951071394600";"30.800,00";"03/04/2024";"295";"1";
"Ministério da Educação";"Universidade Federal do Espírito Santo";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240434197944000112550010000002961397267420";"30.800,00";"03/04/2024";"296";"1";
"Ministério da Educação";"Universidade Federal do Espírito Santo";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240434197944000112550010000003011544530849";"30.800,00";"06/04/2024";"301";"1";
"Ministério da Educação";"Universidade Federal Rural da Amazônia";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240434197944000112550010000003031200356621";"30.800,00";"06/04/2024";"303";"1";
"Ministério da Educação";"Fundação Universidade Federal do ABC";"PEKE SOLUCOES LTDA";"34.197.944/0001-12";"SAO JOSE";"42240434197944000112550010000003021278340912";"30.800,00";"06/04/2024";"302";"1";
"Ministério da Saúde";"Fundação Oswaldo Cruz";"FUNDACAO PARA O DESENV. CIENTIFICO E TEC. EM SAUDE";"02.385.669/0001-74";"RIO DE JANEIRO";"33240402385669000174552060000918901385973980";"30.800,00";"16/04/2024";"91890";"206";
"Ministério da Saúde";"Fundação Oswaldo Cruz";"FUNDACAO PARA O DESENV. CIENTIFICO E TEC. EM SAUDE";"02.385.669/0001-74";"RIO DE JANEIRO";"33240502385669000174552060000919231568504137";"30.800,00";"04/05/2024";"91923";"206";
